Player Name,Team,Age,Positions,FP,FP/GP,GP,TOI,PP TOI,G,A,P,SOG,PPG,PPP,BLK,HIT,plus_minus,GWG,FOW,FOL,FO%,Extra,Extra
Evander Kane,VAN,34,LW,220.6,3.74,59,19.0,1.6,15.0,21.6,36.6,178.4,2.2,6.5,30.2,123.9,-1.4,2.2,20.0,29.4,40%,,
Thomas Harley,DAL,24,D,220.5,3.67,60,23.0,1.3,10.3,24.8,35.1,111.4,0.5,6.5,106.0,34.5,6.5,1.8,0.0,0.0,0%,,
Ryan O'Reilly,NSH,34,C,220.3,3.61,61,19.4,2.2,16.7,25.0,41.7,117.6,5.0,9.9,53.0,21.4,-4.0,2.3,605.0,488.2,55%,,
Ryan Nugent-Hopkins,EDM,32,"C,LW",219.5,3.79,58,18.6,3.2,15.1,27.9,43.0,115.6,5.0,18.9,27.8,30.2,3.4,2.3,169.4,187.9,47%,,
Conor Garland,VAN,29,RW,219.3,3.72,59,19.4,2.4,15.9,23.4,39.3,147.1,3.3,9.5,36.7,40.5,1.0,2.3,6.9,19.7,26%,,
Mackenzie Weegar,CGY,31,D,219.1,3.78,58,23.4,2.0,7.2,21.5,28.6,125.9,1.6,9.0,122.7,132.7,-4.9,0.9,0.0,0.2,0%,,
Jackson Lacombe,ANA,24,D,219.0,3.65,60,24.8,3.1,7.6,24.1,31.8,114.1,1.5,10.1,113.1,61.5,-2.1,1.1,0.0,0.3,0%,,
Kyle Palmieri,NYI,34,RW,218.9,3.71,59,18.4,3.2,18.2,21.0,39.1,149.1,5.4,12.4,29.0,43.7,-2.4,2.6,7.6,11.0,41%,,
Dylan Cozens,OTT,24,C,217.6,3.57,61,17.4,2.6,15.3,24.3,39.6,143.7,5.0,11.8,30.5,149.3,0.6,2.5,382.8,394.3,49%,,
Vincent Trocheck,NYR,32,C,217.2,3.68,59,19.5,1.3,16.8,24.4,41.2,123.1,2.2,5.2,54.0,147.8,1.1,2.9,597.3,419.6,59%,,
Dylan Holloway,STL,24,"LW,RW",216.8,3.61,60,16.9,1.7,18.4,24.1,42.5,125.9,3.3,7.9,36.7,135.5,1.1,2.7,24.5,22.1,53%,,
Dmitri Voronkov,CBJ,25,LW,215.6,3.59,60,16.3,3.2,20.6,20.2,40.9,131.5,9.0,12.9,28.7,75.3,2.8,3.1,75.1,121.8,38%,,
Mason Marchment,SEA,30,LW,215.4,3.59,60,17.6,1.6,17.8,26.6,44.4,123.6,3.2,8.1,24.8,85.9,-4.0,2.2,17.3,23.6,42%,,
Luke Evangelista,NSH,23,RW,215.4,3.53,61,18.2,2.2,13.1,25.9,39.1,160.3,2.5,8.9,18.3,30.2,-2.6,1.8,0.2,2.0,0%,,
